Unnamed: 0,Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,Coded_item,Encoded_item,Encoded_area
0,Albania,Maize,1990,36613,1485.0,121.0,16.37,0,0,14
1,Albania,Potatoes,1990,66667,1485.0,121.0,16.37,1,1,14
2,Albania,"Rice, paddy",1990,23333,1485.0,121.0,16.37,2,2,14
3,Albania,Sorghum,1990,12500,1485.0,121.0,16.37,3,3,14
4,Albania,Soybeans,1990,7000,1485.0,121.0,16.37,4,4,14
5,Albania,Wheat,1990,30197,1485.0,121.0,16.37,5,5,14
6,Albania,Maize,1991,29068,1485.0,121.0,15.36,0,0,14
7,Albania,Potatoes,1991,77818,1485.0,121.0,15.36,1,1,14
8,Albania,"Rice, paddy",1991,28538,1485.0,121.0,15.36,2,2,14
9,Albania,Sorghum,1991,6667,1485.0,121.0,15.36,3,3,14
10,Albania,Soybeans,1991,6066,1485.0,121.0,15.36,4,4,14
11,Albania,Wheat,1991,20698,1485.0,121.0,15.36,5,5,14
12,Albania,Maize,1992,24876,1485.0,121.0,16.06,0,0,14
13,Albania,Potatoes,1992,82920,1485.0,121.0,16.06,1,1,14
14,Albania,"Rice, paddy",1992,40000,1485.0,121.0,16.06,2,2,14
15,Albania,Sorghum,1992,3747,1485.0,121.0,16.06,3,3,14
16,Albania,Soybeans,1992,4507,1485.0,121.0,16.06,4,4,14
17,Albania,Wheat,1992,24388,1485.0,121.0,16.06,5,5,14
18,Albania,Maize,1993,24185,1485.0,121.0,16.05,0,0,14
19,Albania,Potatoes,1993,98446,1485.0,121.0,16.05,1,1,14
20,Albania,"Rice, paddy",1993,41786,1485.0,121.0,16.05,2,2,14
21,Albania,Soybeans,1993,7998,1485.0,121.0,16.05,4,4,14
22,Albania,Wheat,1993,29976,1485.0,121.0,16.05,5,5,14
23,Albania,Maize,1994,25848,1485.0,201.0,16.96,0,0,14
24,Albania,Potatoes,1994,81404,1485.0,201.0,16.96,1,1,14
25,Albania,Soybeans,1994,7927,1485.0,201.0,16.96,4,4,14
26,Albania,Wheat,1994,24745,1485.0,201.0,16.96,5,5,14
27,Albania,Maize,1995,31300,1485.0,251.0,15.67,0,0,14
28,Albania,Potatoes,1995,111323,1485.0,251.0,15.67,1,1,14
29,Albania,Soybeans,1995,11791,1485.0,251.0,15.67,4,4,14
30,Albania,Wheat,1995,28703,1485.0,251.0,15.67,5,5,14
31,Albania,Maize,1996,32604,1485.0,313.96,15.64,0,0,14
32,Albania,Potatoes,1996,106138,1485.0,313.96,15.64,1,1,14
33,Albania,Soybeans,1996,15480,1485.0,313.96,15.64,4,4,14
34,Albania,Wheat,1996,21741,1485.0,313.96,15.64,5,5,14
35,Albania,Maize,1997,31862,1485.0,376.93,15.9,0,0,14
36,Albania,Potatoes,1997,109874,1485.0,376.93,15.9,1,1,14
37,Albania,Soybeans,1997,12768,1485.0,376.93,15.9,4,4,14
38,Albania,Wheat,1997,28516,1485.0,376.93,15.9,5,5,14
39,Albania,Maize,1998,33416,1485.0,439.89,16.27,0,0,14
40,Albania,Potatoes,1998,127212,1485.0,439.89,16.27,1,1,14
41,Albania,Soybeans,1998,14327,1485.0,439.89,16.27,4,4,14
42,Albania,Wheat,1998,28037,1485.0,439.89,16.27,5,5,14
